Index	Los PJs deben	objeto	personaje	complicación	Protagonista	Desea	enemigo	Enfrenta	Necesita	Al final	lugar	objeto	adj	adj2	Medieval - Taberna - Nombre	Medieval - Taberna - Adjetivo	Comida 1	Comida 2	Comida 3	bebida 1	bebida 2	Trampas - Elemento	Trampas - Acción	Trampas - Desencadenante	PNJ profesion	PNJ Origen	PNJ Carácter	PNJ Aspecto	PNJ Especial	Medieval - Personaje	Medieval - Acción	Medieval - Lugar	Medieval - Objeto	Medieval - Evento	Medieval - Criatura	Medieval - Organización	Dungeon - Objeto	Dungeon - Evento	Dungeon - tipo	símbolo - obj	escudo - color	escudo - campo	símbolo - color	Trama PNJ 1	Trama PNJ 2	deidad - ambitos	deidad - adorador	deidad - sacerdotes	deidad - ritos	deidad-arquitectura	poción - textura	poción - tipo	poción - efecto secundario	lugar - color	lugar - nom	lugar - ref	objeto	adj_norm	Nombres - FR - Male
40	investigar	un puente	un cacique	tendrán que evitar la lava del volcán	un caballo	salvarse			encontrar el valor			la montaña	aéreo	de los portales	El Colchón	De cuero		chuletas	nueces		lagarto	Pozo	Sugestionar	Vial	mercenario	norteño	bruto	es nervudo	es duro de oído	Caballero	Caminar	Campamento	Caja	Compra	Contemplador	Iglesia	muebles	es un lugar sacrílego	armería	una montaña				un cambista	quiere atacar a	ayuda	orcos	vendarse los ojos	magia	en semicírculo					la planicie	de la sardina	el cofre	aéreo|aérea|aéreos|aéreas	Oldus
41	cartografiar	un paso	un líder	primero tendrán que escapar	un pez	salvar a otro			descubrir su don			el pozo	terrestre	del adiós	El Comensal	De fuego		rape	cebolla		vinagre	Picas	Obligar	Bebedizo	gladiador	vampiro	caballeroso	es obeso	es el alma de la fiesta	Caballo	Castigar	Canal	Cáliz	Compulsión	Criatura interplanaria	Madre Iglesia	un escudo de armas	es un lugar sagrado	forja	un perro				un cantante	es atacado por	acogida	medianos	drogarse	invocaciones	sin techo					el desierto	del calamar	el colgante	terrestre|terrestre|terrestres|terrestres	Jhestun
42	asaltar	una piedra	un opositor	primero tendrán que crear una distracción	un genio	explorar			un don especial			el agujero	abisal	de la partida	El Cubo	De hierro		sardinas	apio		melocotón	Aceite	Dormir	Poción	bandido		callado	es pálido	es el más guapo del barrio	Cambista	Cazar	Capilla	Canica	Concilio	Criatura marina	Mafia	una chimenea	puede llenarse de gas	claustro	un lobo				un capitán	quiere asustar a	medicina	drow	usar magia	convocaciones	con muchos ventanales					la tundra	del pulpo	el collar	abisal|abisal|abisales|abisales	Felelakh
43	salvar	una runa	un traidor	tendrán que hacer una ofrenda a los dioses	un hermano	comer			averiguar su valía			la cueva	infernal	de los horrores	El Cuchillo	De madera		higadillos	queso		violetas	Ácido	Emborrachar	Pergamino	señor de la guerra		calmado	es paticorto	es enamoradizo	Cantante	Cerrar	Cascada	Capa	Condena	Criatura sombría	Manada	instrumentos de torturas	puede inundarse	mazmorra	un draco				un carnicero	quiere amedrentar a	herbalismo	trasgos	crear pociones	necrofilia	con grandes cúpulas					la meseta	de la araña	el colmillo	infernal|infernal|infernales|infernales	Adjer
44	recuperar	un megalito	un prisionero	tendrán que consultar a un sabio	un enano	beber			un ángel de la guarda			la caverna	acuoso	de la niebla	El Dado	De Mithril		callos	pepino		grosella	Engranaje	Dejar inconsciente	Libro	líder		capaz	es pelirrojo	es excesivamente cortés	Capitán	Chantajear	Castillo	Cargamento	Confusión	Demonio	Mercaderes	cadenas colgando	atraerá la atención de los guardias	calabozo	una sierpe				un cartógrafo	quiere ayudar a	naturaleza	ogros	comerciar con lo que producen	necrofagia	como edificios altos					la estepa	del escorpión	el conocimiento	acuoso|acuosa|acuosos|acuosas	Hernd
45	recobrar	un monumento	un vampiro	tendrán que consultar a un adivino	un espía	divertirse			su fe			la bolsa	aguamarina	de las montañas	El Dardo	De oro		entresijos	calabacín		pasas	Contrapeso	Alterar	Tomo	soldado		caprichoso	es peludo	es excesivamente suspicaz	Carnicero	Clausurar	Catacumbas	Carne	Consejo	Derro	Mercado negro	unas escaleras	alguien ha hecho unas marcas	celda	una serpiente				un chamán	necesita ayuda de	animales	humanoides	buscar acólitos	banquetes	como estructuras austeras					la cordillera	de la serpiente	el corazón	aguamarina|aguamarina|aguamarinas|aguamarinas	Damuron
46	revertir	una estatua	un liche		un bufón	jugar			su verdadera familia			el polvo	brillante	del olvido	El Diván	De piedra		lomo	judías verdes		zazamora	Cadena	Perder	Escalera	guardia		carismático	es pesado	es fácilmente influenciable	Cartógrafo	Coger	Catarata	Cerebro	Conspiración	Destrachan	Mercenarios	una cascada	alguien ha dejado un mensaje	nave	una rata				un chambelán	necesita encontrar a	alquimia	semihumanos	buscar la soledad	fuego	muy fortificadas					los picos	del lagarto	el cuenco	brillante|brillante|brillantes|brillantes	Sabbyr
47	deshacer	una tienda	un drow		un paladín	huir						el códice	resplandeciente	de orgullo	El Dragón	Dorado		chuletón	cardo		durazno	Dama de hierro	Alejar	Bastón	general		caritativo	es pulcro	es fervorosamente religioso	Chamán	Coleccionar	Catedral	Cesta	Construcción	Deva	Monasterio	una fuente	alguien ha dejado una advertencia	despensa	un barco				un chiflado	quiere buscar a	salvaje	bastardos	ayudar a los demás	agua	en otros planos					el portal	de la salamandra	el cuerno	resplandeciente|resplandeciente|resplandecientes|resplandecientes	Hunthul
48		un carromato	el príncipe		un caballero	crecer						el libro	oscuro	de la maldad	El Drow	Durmiente		ancas	manzana		pimiento	Púas	Esconder	Suelo	maestro		cauto	es regordete	es friolero	Chambelán	Colocar	Caverna	Cetro	Contrabando	Diablo	Motín	un charco	alguien ha dejado señales equívocas	sala de espera	un galeón				un ciego	no desea ser encontrado por	árboles	familias	dar cobijo	aceite	con portales a otros planos					la ribera	de la víbora	el decantador	oscuro|oscura|oscuros|oscuras	Drorilir
49		un transporte	la princesa			transformarse						la baraja	brumoso	del hielo	El Elfo	Elevado		carne picada	arándanos		comino	Autómata	Mostrar	Techo	luchador		celoso	es risueño	es fumador	Chiflado	Colonizar	Celda	Chimenea	Coronación	Dinosaurio	Nobleza	un lago	es fácil perderse	sala de descanso	un navío				un clérigo	quiere expulsar a	cosechas	padres	ser cultos	óleos	en encrucijadas					el lago	de la muerte	el dedo	brumoso|brumosa|brumosos|brumosas	Bravvor
50		un animal	el heredero			convertirse						el hueso	inacabable	de levedad	El Enano	En conserva		carne	limón		pimienta	Muerto viviente	Revelar	Pilares	fugitivo		charlatán	es rubio	es inexperto	Ciego	Cometer	Cementerio	Cieno	Corrupción	Djinni	Opositores	estalactitas	es fácil coger el camino equivocado	sala de suministros	una puerta				un cocinero	quiere comprar a	cielo	madres	mantener buenos registros	imposición de manos	en caminos					el delta	de la vida	el demonio	inacabable|inacabable|inacabables|inacabables	Strylyr
51		un árbol	un paladín			soñar						la varita	místico	de la muerte viviente	El Engranaje	En salazón		pierna de cordero	cominos		guindillas	Jaula	Inundar	Paredes	mendigo		chistoso	es velludo	es más joven de lo que parece	Clérigo	Competir	Ciénaga	Cinturón	Cosecha	Doppelganger	Orden	estalagmitas	alguien ha quitado unas baldosas	nevera	un escudo				un comandante	quiere el negocio de	bóveda celeste	mendigos	vivir como ermitaños	sanación	junto a ríos					el alcázar	del liche	el destierro	místico|mística|místicos|místicas	Lheras
52		un portal	un caballero			despertar						la daga	interplanar	de la resurrección	El Escorpión	Enfadado		cordero	pimienta		pepinillo	Paredes móviles	Quebrar	Foso	esclavo		chistoso	es verrugoso	es más sensible de lo que le gusta aparentar	Cocinero	Comprar	Circo	Cofre	Crimen	Draco	Partida	un pozo de levitación	alguien ha quitado algunas piedras de la pared	bodega	un torreón				un conde	quiere sobornar a	montañas	huérfanos	virir recluidos	curación	junto al mar					la ciudad	del dragón	el diablo	interplanar|interplanar|interplanares|interplanares	Borus
53		una puerta	un monje			oponerse						la flecha	ajeno	de la reanimación	El Escribano	Escabechado		oveja	pimiento verde		flores	Techo aplastante	Desaparecer	Túnel	capataz		cínico	está contrahecho	es más viejo de lo que aparenta	Comandante	Comprometer	Círculo mágico	Colgante	Culto	Dracoliche	Realeza	libros	el suelo cruje	trastero	un demonio				un condenado	recibe un soborno de	cumbres	bestias	tener una compleja jerarquía	hablar con los espíritus	bajo el agua					las ruinas	de la sierpe	el diamante	ajeno|ajena|ajenos|ajenas	Ambror
54		un pórtico	un clérigo			convencer						el arco	extraño	de transformación	El Escudo	Escabroso		toro	pimiento rojo		abeto	Agua	Tropezar	Conducto	chamán		circunspecto	está desaliñado	es miembro de un gremio	Conde	Conducir	Ciudad	Collar	Cumpleaños	Dracónido	Rebeldes	una varita	el suelo hace ruido al andar	recibidor	un diablo				una condesa	quiere coaccionar a	nubes	monstruos	ser desorganizados	hablar con los muertos	en las copas de grandes árboles					la roca	del centauro	el diente	extraño|extraña|extraños|extrañas	Vasor
55		una taberna	un devoto			la felicidad						la gema	múltiple	de polimorfía	El Espárrago	Espumoso		ave	guindillas		piña	Rayo	Agachar	Corredor	sacerdote		clemente	está mutilado	es mudo	Condenado	Confundir	Ciudadela	Columna	Curación	Dragón	Resistencia	un bastón	la puerta se cierra sola	refectorio	una mujer				un consejero	se ve comprometido por	viento	criaturas	guardar reliquias	hablar con los dioses	con madera					la piedra	de la mantícora	el engaño	múltiple|múltiple|múltiples|múltiples	Alooler
56		una posada	un adorador			esconderse de alguien						el pico	arbitrario	de ilusiones	El Esqueleto	Estival		gallo	pepinillos		pino	Frío	Saltar	Pasillo	adepto		cobardica	está pelado	es mujeriego	Condesa	Congelar	Claro del bosque	Comida	Declaración de guerra	Draña	Secta	un cetro	alguien perdió un objeto querido aquí	catacumba	un guerrero				un conspirador	tiene algo que compromete a	aire	piratas	lanzar conjuros	veneno	con piedra					el círculo	de la hidra	el escudo	arbitrario|arbitraria|arbitrarios|arbitrarias	Thual
57		una caja	un sectario			ser libre						la coraza	aleatorio	de sueño	El Estofado	Frito		ciervo	judías		eucalipto	Agua hirviendo	Hundir	Alfombra	cazarrecompensas		codicioso	le falta una oreja	es otra criatura, polimorfada	Consejero	Conseguir	Cloaca	Componente mágico	Defensa	Dríada	Senado	papeles	alguien dejó sus cosas aquí	tumba	una pica				un contrabandista	tiene pruebas en contra de	tierra	jinetes	destilar bebidas	arañas	con piedras exóticas					el árbol	del minotauro	el fauno	aleatorio|aleatoria|aleatorios|aleatorias	Argurn
58		un barril	un espía									la armadura	afortunado	de los enanos	El Estribo	Furioso		gamo	judías pintas		nuez moscada	Ajeno		Cama	espía		comedido	lleva un pendiente	es pulcro en el vestir	Conspirador	Conspirar	Colina	Contrabando	Derrocamiento	Drow	Servidumbre	pergaminos	hay una boca mágica	sala de máquinas	un pico				un corrupto	quiere eliminar las pruebas en poder de	agua	arqueros	organizar fiestas	sabandijas	con gemas y joyas						de la medusa	el fin	afortunado|afortunada|afortunados|afortunadas	Bhaelun
59		una barcaza	un adivino									el yelmo	desafortunado	de los elfos	El Filete	Gélido		corzo	judías blancas		mejorana	Cieno		Escritorio	contrabandista		compasivo	lleva un piercing	es racista	Contrabandista	Construir	Coliseo	Coral	Derrota	Duende	Soldadesca	una hoguera	hay una cámara escondida	laboratorio alquímico	un yunque				una criada	se ve acusado por	profundidades	fatas	oficiar ceremonias	insectos	con grandes pórticos						de los elfos	el fluído	desafortunado|desafortunada|desafortunados|desafortunadas	Gelen
60		el circo	un oráculo									la runa	plateado	de los drow	El Fogón	Giratorio		lagarto	habas		cedro	Esporas		Pluma	niño		comprensivo	lleva una prótesis	es receloso ante la magia	Corrupto	Controlar	Comedor	Corona	Desaparición	Duérgar	Sublevados	un fuego	hay un agujero oculto	desagüe	un águila				un criminal	quiere acusar a	ríos	criaturas del bosque	mendigar	serpientes	con muchas puertas						de los enanos	el frío	plateado|plateada|plateados|plateadas	Alsprer
61		una entrada	un bandido									el glifo	estelar	del norte	El Fraile	Hambriento		pez de roca	jamón		rosas	Alarma		Lago	buhonero		compulsivo	luce un peinado extraño	es sobrenaturalmente atractivo	Criada	Convencer	Corredor	Cristal	Deseo	Elemental	Templo	una imagen de un dios	hay un tesoro escondido	pozo	un halcón				un cuervo	quiere desenmascarar a	océanos	licántropos	vagar predicando	ácido	con una sola entrada						de los gnomos	el fuego	estelar|estelar|estelares|estelares	Thoryrer
62		la arena	un mensajero									el cofre	cósmico	de las profundidades	El Fuego	Harapiento		pescado	flores		albahaca	Ojo de mago		Barca	artista		confiado	parece elástico	es sordo	Criminal	Convertir	Costa	Cuadro	Desgracia	Ent	Tribu	una imagen de un demonio	alguien escondió algo aquí	foso	un búho				un culpable	necesita pruebas en contra de	crecimiento	vampiros	sermonear	luz	con varios accesos						de los duendes	el glifo	cósmico|cósmica|cósmicos|cósmicas	Glalvel
63		la recaudación	un sacerdote									el arcón	profundo	de la tierra	El Gato	Humeante		bacalao	cerveza		menta	Ilusión		Estalactita	juglar		confiado	parece torpón	es sudoroso	Cuervo	Convocar	Cráter	Cuenco	Destierro	Escorpión	Tripulación	una estatua	el viento aúlla	coliseo	una casa				un cultista	se confunde con	cultivo	muertos vivientes	vivir en comunidad	unción	con una vía de escape						de las hadas	el grimorio	profundo|profunda|profundos|profundas	Har
64		un tesoro										la copa	incompleto	del abismo	El Gigante	Húmedo		emperador	vino		hierbabuena	Compulsión		Estalagmita	bufón		conformista	se afeita con perilla	es supersticioso	Culpable	Correr	Cripta	Cuerno	Destrucción	Esfinge	Tropa	jarrones	todo está oscuro	arena	un toro				un curandero	quiere controlar a	agricultura	taberneros	formar parte de la sociedad	drogas	con alojamiento						del ent	el guante	incompleto|incompleta|incompletos|incompletas	Ogluar
65		un cofre										el vaso	perdido	del resplandor	El Gladiador	Iluminado		pez espada	frijoles		sándalo	Transmutación			granjero		conspirador	tiene arrugas profundas	es un agente secreto del rey	Cultista	Corroer	Cubil	Daga	Disturbios	Espectro	Universidad	una escalera de caracol	hay una oscuridad mágica	jaula	un río				un deidad	quiere escapar al control de	estaciones	posaderos	actuar como guía espiritual	orgías	con un refugio						del ojo	el hacha	perdido|perdida|perdidos|perdidas	Ausmus
66		una llave										la jarra	abandonado	del trueno	El Gnomo	Invernal		tiburón	tortillas		siempreviva	Encantamiento			pastor		cortés	tiene barba de tres días	es un artesano aficionado	Curandero	Corromper	Cueva	Diadema	Eclipse	Esqueleto	Vecindad	ventanas	hay un silencio mágico	prisión	un roble				Demogorgon	quiere convencer de algo a	luna	reyes	predecir el futuro	sexo	con zonas de juego						de la mandíbula	el hechizo	abandonado|abandonada|abandonados|abandonadas	Eirolbus
67		un sello										el decantador	afilado	del clima	El Granjero	Jocoso		liebre	bechamel		jengibre	Hechizo			curandero		corto	tiene barba larga	es un artista	Deidad	Cortar	Cúpula	Diente	Edicto	Estirge		una vidriera	hay una luz mágica	sala de contención	un olmo				un desconocido	no se deja convencer por	sol	adivinos	aconsejar a los gobernantes	alucinaciones	con biblioteca						del colmillo	el hielo	afilado|afilada|afilados|afiladas	Ondrin
68		una clave										la botella	coralino	de las nubes	El Grifo	Jugoso		pichón	brandy		hinojo	Fantasma			adivino		cosmopolita	tiene barba poblada	es un borrachuzo	Demogorgon	Cultivar	Desierto	Droga	Ejecución	Ettercap		un órgano	hay demasiada luz	laboratorio mágico	un tronco				un desertor	quiere convocar a	estrellas	nigromantes	estar locos	visiones	con zonas de trabajo						de los dientes	el hierofante	coralino|coralina|coralinos|coralinas	Tholubas
69		un instrumento										el ojo	prismático	de la bruma	El Guante	Latente		jabalí	licor		uva	Insectos			nigromante		cotilla	tiene barbilla prominente	es un buen bailarín	Desconocido	Dar a luz	Despacho	Edicto	Elecciones	Ettin		un instrumento musical	se oye correr el agua	biblioteca	un yelmo				un devoto	quiere corromper a	planos	bárbaros	castigar los pecados	predicciones	con áreas de entrenamiento						de las garras	el hueso	prismático|prismática|prismáticos|prismáticas	Merdailuth
70		un aparato										el tentáculo	reconfortante	de los mares	El Guerrero	Lisiado		cerdo	embutido		moscatel	Vacío			cazadragones		creativo	tiene buena planta	es un buscador de bronca	Desertor	Decidir	Destilería	Emblema	Embrujamiento	Extraplanario		un arcón cerrado	es un lugar de locura	cuarto de juegos	un casco				un diabolista	quiere tentar a	enigmas	salvajes	imponer penitencias	mutilaciones	con salas de meditación						de los cuernos	el icor	reconfortante|reconfortante|reconfortantes|reconfortantes	Cuthar
71		una poción										el brazo	lejano	de convocación	El Guisante	Lleno		gorrino	especias		garnacha	Alma					crédulo	tiene cicatrices	es un chismoso	Devoto	Declarar	Embalse	Escama	Enfermedad	Fantasma		un baúl cerrado	alguien controla las mentes	mirador	un zapato				un dios	se ve tentado por	acertijos	dragones	encargar misiones	piercings	con salas de lectura						del cuerno	el laberinto	lejano|lejana|lejanos|lejanas	Thialer
72		un brebaje										el dedo	remoto	del destierro	El Hacha	Mágico		sangre	cardamomo		olivas	Cepo					creído	tiene dedos de más	es un coleccionista	Diabolista	Defender	Enclave	Escudilla	Engaño	Felino		un baúl abierto	alguien ha hecho de esto su hogar	cuarto de materiales	una lanza				un diplomático	busca el cariño de	soledad	espías	perseguir a los herejes	tatuajes	con sótanos						de las escamas	el laúd	remoto|remota|remotos|remotas	Narelt
73		una alcantarilla										la garra	recóndito	de los tritones	El Hada	Manco		sepia	chorizo		maíz	Abismo					criticón	tiene dedos de menos	es un comilón	Dios	Delinquir	Encrucijada	Escudo	Enigma	Firbolg		un arcón abierto	es la guarida de una criatura	puente	un sol				un doctor	no se ve correspondido por	compañía	aventureros	impartir justicia	profecías	con catacumbas						de las uñas	el libro	recóndito|recóndita|recónditos|recónditas	Raentyr
74		un muro										la mano	humilde	de los ilícidos	El Hogar	Maravilloso		caracoles	morcilla		patata	Lodo					cruel	tiene dientes afilados	es un criminal convicto	Diplomático	Delirar	Erial	Escultura	Enterramiento	Fomoriano		un armario con ropa	aquí intersecan muchos caminos	pasarela	una luna				un druida	ama en secreto a	vino	mercenarios	castigar a los pecadores	historias y leyendas	cerca de cementerios						de los cabellos	el mal	humilde|humilde|humildes|humildes	Andun
75		un alcázar										el diente	puro	de inteligencia	El Horno	Marcado		marisco	longaniza		cebolla	Arenas movedizas					cuentista	tiene dientes de conejo	es un enviado divino	Doctor	Demostrar	Escalera	Esfera	Envenenamiento	Fuego fatuo		barriles de vino	aquí acaba el camino	enfermería	un girasol				un duque	es el hijo secreto de	mujeres	soldados	hacer guerra santa	reliquias	con un cementerio						de la cabeza	el martillo	puro|pura|puros|puras	Deleer
76		un aljibe										el colmillo	esclavo	de agilidad	El Jergón	Mareado		langosta	cebollino		albaricoque						cuidadoso	tiene dientes de oro	es un espía	Druida	Desaparecer	Escollos	Espada	Epidemia	Gárgola		barriles con agua	parece un callejón sin salida, pero…	quirófano	un olivo				una duquesa	es el hijo bastardo de	hombres	guardias	actuar en las sombras	artefactos	con muros alrededor						de los brazos	el mazo	esclavo|esclava|esclavos|esclavas	Udran
77		una cosecha										la biblioteca	esclavizante	de fuerza	El Ladrón	Melancólico		rodaballo	rábanos		pomelo						curioso	tiene dientes grandes	es un espíritu libre	Duque	Descifrar	Escondite	Especias	Erupción volcánica	Genasi		viales	en realidad nada es lo que parece	almacén mágico	una rama				un electo	es un familiar lejano de	sexo	bandidos		objetos mágicos	con puertas fortificadas						de las piernas	el mechón	esclavizante|esclavizante|esclavizantes|esclavizantes	Maegler
78		un producto										el túnel	susurrante	de fortaleza	El Lagarto	Meridional		atún	cebolleta								curtido	tiene dientes podridos	es un fugitivo	Duquesa	Descubrir	Escondrijo	Espejo	Escaramuza	Genio		un laboratorio	todo parece inofensivo	ascensor	una hoja				un elfo	ha recibido una herencia de	amor	criminales		pociones	completamente abiertos						de la cola	el miedo	susurrante|susurrante|susurrantes|susurrantes	Thoeld
79		unas semillas										la puerta	parlante	de la sabiduría	El Lago	Montañoso		anguila	champiñones								dadivoso	tiene el pelo castaño	es un gorrón	Electo	Desear	Establos	Espora	Esclavitud	Ghoul		un frasco de veneno	todo parece peligroso	tubería	una nube				un embajador	finge ser un familiar de	procreación			escritura	con grandes columnas						de los ojos	el monolito	parlante|parlante|parlantes|parlantes	Brald
80		sus ropas										el pórtico	silencioso	de carisma	El Látigo	Mudo		res	pasta								dadivoso	tiene el pelo corto	es un jugador compulsivo	Elfo	Desestabilizar	Estadio	Esqueleto	Estado de pánico	Gigante		un juego de cartas	todo tiene trampas	alcantarilla	una estrella				un emperador	finge conocer a la familia de	hijos			meditación	con mosaicos						de la vaca	el mundo	silencioso|silenciosa|silenciosos|silenciosas	Buske
81		su oro										la torre	curador	de persuasión	El Laúd	Negro		ternero	gambas								de buen corazón	tiene el pelo cuidado	es un líder vocacional	Embajador	Despertar	Estudio	Estandarte	Esterilidad	Githerai		unas misivas	todo está encantado	galería de arte	un caballero				un enano	se hace pasar a menudo por	ladrones			trascendencia	con tapices						de la cabra	el norte	curador|curadora|curadores|curadoras	Thendon
82		su alma										el alcázar	sanador	de hechizo	El León	Nevado		cabrito	erizos de mar								de corazón duro	tiene el pelo ensortijado	es un ligón	Emperador	Desterrar	Excavación	Estatua	Evento astronómico	Githyanki		un escritorio	todo está maldito	centro de exposición	un paladín				un enemigo	pretende ser	allanamiento			abstinencia	con frescos						de la oveja	el obelisco	sanador|sanadora|sanadores|sanadoras	Sylsathten
83		su filacteria										el pie	ciego	de latón	El Libro	Noble			angulas								de palabra	tiene el pelo grasiento	es un malhablado	Enano	Destilar	Fábrica	Estrella	Excavación	Gnoll		una poción	todo es corriente	sala de trofeos	un pie				un enviado	actúa como si fuera	leyes			enfermedad	con bajorrelieves						del lince	el ocaso	ciego|ciega|ciegos|ciegas	Otheloth
84		una reliquia										la oreja	sordo	de recuperación	El Limón	Norteño			huevas								decidido	tiene el pelo hirsuto	es un maniático	Enemigo	Destruir	Fondo	Filacteria	Expansión	Gnomo		armas	está todo impregnado de aceite	cuarto de entrenamiento	un mago				un ermitaño	se transforma en	palabras			tierra	con runas						del esqueleto	el ojo	sordo|sorda|sordos|sordas	Uttal
85		una deidad										el mechón	podrido	del tirano	El Luchador	Nublado			huevos								dedicado	tiene el pelo lacio	es un mentiroso	Enviado	Diseñar	Fortaleza	Flecha	Expedición	Goblin		una armadura	está todo cubierto de ceniza	sala de visitas	un ladrón				un erudito	lleva una vida secreta como	escritura			polvo	con baldosas						de los huesos	el olvido	podrido|podrida|podridos|podridas	Insuler
86		un veneno										la pata	enfermo	de la tiranía	El Mago	Occidental			granada								dejado	tiene el pelo largo	es un mocoso	Ermitaño	Disfrazarse	Fosa	Flor	Experimento	Gólem		lanzas	está todo cubierto de polvo	aseo	una manzana				un esclavo	quiere demostrar algo sobre	ciencia			componentes arcanos	con colores vivos						del cráneo	el oráculo	enfermo|enferma|enfermos|enfermas	Terlerd
87		un escudo										el cuenco	corrupto	de esclavitud	El Maíz	Oriental			pepitas								depravado	tiene el pelo liso	es un novato	Erudito	Dormir	Fuente	Forja	Exploración	Grell		provisiones	está todo cubierto de sangre	letrina	una pera				un escriba	quiere desestabilizar a	respeto			alquimia	con arquitectura austera						de la calavera	el orbe	corrupto|corrupta|corruptos|corruptas	Dhallen
88		un mapa										la bandeja	incólume	del silencio	El Mar	Oscuro			cacahuetes								depresivo	tiene el pelo muy largo	es un opositor al régimen	Esclavo	Edificar	Fuerte	Fórmula	Explosión	Grifo		cuerdas	está inundada	cuarto de baño	un montaraz				un escudero	cree haber descubierto algo sobre	tolerancia			pintura	con arquitectura simple						de la bruma	el órgano	incólume|incólume|incólumes|incólumes	Jhergand
89		un sótano										la fuente	incorrupto	de la luz	El Martillo	Otoñal			avellanas								derrochador	tiene el pelo rizado	es un pelmazo	Escriba	Ejecutar	Galeón	Fuego	Expolio	Grimlock		lámparas	hay un sistema de alarma	baños	un pino				un espadachín	quiere destruir a	odio			bálsamos	con arquitectura moderna						de las nubes	el orgullo	incorrupto|incorrupta|incorruptos|incorruptas	Vrululd
90		una bodega										el escudo	volador	de la oscuridad	El Mediano	Oxidado			queso rallado								derrotista	tiene el rostro picado de viruela	es un piropeador	Escudero	Emerger	Géiser	Galeón	Falla	Gusano		agua bendita	hay un sistema de protección	cuarto de limpieza	un druida				un espía	busca desterrar a	persecución			baños	con arquitectura sólida						del cielo	el oro	volador|voladora|voladores|voladoras	Gerbilkan
91		un pasadizo										el tapiz	maravilloso	de ceguera	El Mendigo	Pelado			queso fundido								descarado	tiene el tabique nasal roto	es un practicante de religión minoritaria	Espadachín	Encarcelar	Glaciar	Ganzúa	Fenómeno atmosférico	Hada		un relicario	alguien está vigilando	cuarto de invitados	una fuente				un exarca	despierta junto a	racismo			adiestramiento	con arquitectura refinada						de los vientos	el pánico	maravilloso|maravillosa|maravillosos|maravillosas	Kernun
92		un acceso secreto										la alfombra	mítico	de curación	El Mercenario	Piadoso			cortezas								descortés	tiene encías sangrantes	es un quejica	Espía	Encerrar	Globo aerostático	Garras	Feria	Hidra		un mensaje	hay algo escondido	habitación del pánico	un tiburón				un excéntrico	quiere desenterrar el cadáver de	éxito			adoctrinamiento	con grandes tesoros en su interior						del este	el pico	mítico|mítica|míticos|míticas	Ostergal
93		una vía de escape										la lámpara	legendario	de sanación	El Monje	Plateado			patatas								descuidado	tiene la boca grande	es un rebelde sin causa	Exarca	Encontrar	Granero	Gema	Fiesta popular	Hobgoblin		lava	hay algo esperando merodeadores	bar	un tigre				un exiliado	busca	fracaso			actividades al aire libre	con una gran torre						del oeste	el pie	legendario|legendaria|legendarios|legendarias	Crylleth
94		el mar										el templo	terrible	de sordera	El Murciélago	Primaveral			patata hervida								descuidado	tiene la boca pequeña	es un sobón	Excéntrico	Enfrentar	Granja	Grilletes	Fiesta privada	Hombre-lagarto		barro	alguien se dejó algo olvidado	cuartel	un corcel				un explorador	busca la tumba de	perseverancia			hogueras	con un campanario						del norte	el polvo	terrible|terrible|terribles|terribles	Jes
95		un fuerte										la catedral	horrible	de enfermedad	El Naipe	Prisionero			moras								desdeñoso	tiene la cara alargada	es un tipo duro	Exiliado	Enloquecer	Gremio	Guantelete	Firma de tratado	Hombre-lobo		tierra	alguien ha pasado por aquí recientemente	sala del trono	un trono				un extranjero	busca resucitar a	constancia			fuegos artificiales	con tejados a dos aguas						del sur	el pórtico	horrible|horrible|horribles|horribles	Alyr
96		un camino										el oráculo	consciente	de los deseos	El Necrófago	Púrpura			frutos secos								desgarbado	tiene la frente huidiza	es un viajero interplanario	Explorador	Enterrar	Grieta	Guantes	Frío	Hombre-rata		goteras	alguien entra en la habitación en ese momento	sala de audiencias	una corona				un extraplanario	quiere curar a	familia			golems	con tejado a un agua						escarlata	el pozo	consciente|consciente|conscientes|conscientes	Largre
97		un torreón										el guante	inteligente	del miedo	El Nicho	Real			peras								desmedido	tiene la mandíbula ancha	es un zalamero	Extranjero	Entrar	Gruta	Hacha	Fuga	Homúnculo		humedades	el lugar está maldito	oratorio	una doncella				un familiar	quiere envenenar a	reino			resurrección	con tejados a cuatro aguas						carmesí	el rayo	inteligente|inteligente|inteligentes|inteligentes	Buthlar
98		una fuente										el collar	omnisciente	del pánico	El Ogro	Rebosante			ajonjolí								desordenado	tiene la piel cubierta de llagas	es una criatura polimorfada	Extraplanario	Entregar	Guarida	Hebilla	Funeral	Hongo		escombros	el lugar está bendecido	cuarto de música	un murciélago				un famoso	quiere contagiar a	justicia			muertos vivientes	con agujas						de oro	el relámpago	omnisciente|omnisciente|omniscientes|omniscientes	Tharint
99		un cadáver										las botas	omnipotente	de la voluntad	El Ojo	Retorcido			sésamo								despectivo	tiene la piel curtida	es veterano en mil batallas	Familiar	Envenenar	Gueto	Herramienta	Granizo	Hormiga gigante		una trampilla en el techo	el lugar está en contacto con otro plano	auditorio	un hacha				un fanático	se despierta encadenado junto a	castigo				con varias cúpulas						de plata	el resplandor	omnipotente|omnipotente|omnipotentes|omnipotentes	Sertham
